"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 15:55:09 IST 2022","Thu Oct 20 15:55:25 IST 2022","16026","","product","","product","login","login",""
"passed","Wed Oct 19 18:00:48 IST 2022","Wed Oct 19 18:01:10 IST 2022","21526","","leads","","leads","login","login",""
"passed","Thu Oct 20 15:54:43 IST 2022","Thu Oct 20 15:54:53 IST 2022","10320","","leads","","leads","login","login",""
"passed","Wed Oct 19 15:45:38 IST 2022","Wed Oct 19 15:45:55 IST 2022","16545","","product","","product","create product","create product",""
"broken","Tue Oct 18 15:26:43 IST 2022","Tue Oct 18 15:26:43 IST 2022","431","","product","","product","select and delete","select and delete",""
"broken","Thu Oct 20 15:54:02 IST 2022","Thu Oct 20 15:54:05 IST 2022","2797","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"failed","Thu Oct 20 15:53:48 IST 2022","Thu Oct 20 15:54:00 IST 2022","11254","","product","","product","find dupicates","find dupicates",""
"passed","Thu Oct 20 15:54:56 IST 2022","Thu Oct 20 15:55:07 IST 2022","10934","","product","","product","create product","create product",""
"passed","Thu Oct 20 15:48:29 IST 2022","Thu Oct 20 15:48:32 IST 2022","2424","","login to app","","login to app","url","url",""
"broken","Thu Oct 20 15:54:00 IST 2022","Thu Oct 20 15:54:00 IST 2022","123","","product","","product","select and delete","select and delete",""
"passed","Thu Oct 20 10:50:47 IST 2022","Thu Oct 20 10:50:55 IST 2022","8414","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"broken","Tue Oct 18 16:06:30 IST 2022","Tue Oct 18 16:06:46 IST 2022","16398","","product","","product","login","login",""
"passed","Thu Oct 20 15:48:32 IST 2022","Thu Oct 20 15:48:33 IST 2022","1677","","login to app","","login to app","invalidlogin","invalidlogin",""
"failed","Tue Oct 18 15:26:30 IST 2022","Tue Oct 18 15:26:43 IST 2022","12501","","product","","product","find dupicates","find dupicates",""
"passed","Thu Oct 20 15:53:46 IST 2022","Thu Oct 20 15:53:48 IST 2022","2245","","product","","product","click on products","click on products",""
"passed","Tue Oct 18 15:26:28 IST 2022","Tue Oct 18 15:26:30 IST 2022","1829","","product","","product","click on products","click on products",""
